"","Food","Grams","Calories","Protein","Fiber","Carbs","January.2021","February.2021","March.2021","April.2021","May.2021","June.2021","July.2021","August.2021","September.2021","October.2021","November.2021","December.2021"
"1","Apples",130,70,0,1,18,4.53,4.49,4.57,4.55,4.64,4.66,4.79,4.97,4.9,4.61,4.44,4.76
"2","Bacon",16,95,4,0,1,7.32,7.44,7.29,7.69,7.89,7.79,7.99,8.24,8.27,8.29,8.47,8.66
"3","Bananas",150,85,1,0.9,23,1.56,1.57,1.56,1.56,1.56,1.56,1.56,1.6,1.6,1.6,1.6,1.61
"4","Bread",35,86,3,2.4,16,2.79,2.87,2.82,2.85,2.88,2.82,2.8,2.82,2.81,2.84,2.89,2.98
"5","Canned salmon",85,120,17,0,0,6.67,6.6,6.48,6.41,6.23,6.53,6.64,6.53,6.41,6.66,6.53,6.53
"6","Canned tomatoes",240,50,2,1,9,1.45,1.48,1.49,1.6,1.6,1.63,1.58,1.74,1.7,1.65,1.57,1.71
"7","Carrots",150,45,1,0.9,10,2.25,2.34,2.33,2.43,2.49,2.52,2.64,2.37,2.4,2.32,2.36,2.43
"8","Chicken",85,185,23,0,0,7.35,7,7.73,7.87,7.76,7.72,8.07,8.13,8.3,8.51,8.18,7.87
"9","Eggs",100,150,12,0,0,3.64,3.62,3.77,3.8,3.74,3.75,3.74,3.91,3.82,3.87,3.87,3.82
"10","Ground beef",85,245,23,0,0,11.55,11.06,11.22,11.53,11.28,11,11.31,11.56,11.86,12.31,12.46,12.06
"11","Onions",210,80,2,1.6,18,2.29,2.32,2.31,2.25,2.35,2.38,2.45,2.44,2.31,2.14,2.29,2.25
"12","Oranges",180,60,2,1,16,3.59,3.77,3.61,3.66,3.9,4.04,3.97,3.88,3.9,4.02,4.12,4.11
"13","Partly skimmed milk",258,129,9,0,12,5.3,5.48,5.49,5.5,5.51,5.48,5.51,5.49,5.49,5.52,5.5,5.52
"14","Potatoes",100,100,2,0.5,22,10.34,10.09,10.31,10.23,10.58,10.5,10.72,10.67,10.19,10.17,9.89,10.36
"15","Processed cheese slices",21,78,5,0,0,2.69,2.79,2.84,2.77,2.83,2.81,2.72,2.77,2.61,2.66,2.63,2.63
